ID,latitude,longitude,fecha,hora,presencia_policia,civiles_muertos,policias_muertos,varones_muertos,mujeres_muertas,cerca_escuelas,motivo_principal.y,direccion,localidad,bairro,region
34784,-22.8654866,-43.2619815,30/03/2020,21:11:00,0,0,0,NA,NA,Não,NA,"Morro do Adeus, Complexo do Alemão, Rio de Janeiro - RJ, 21061, Brasil",Complexo do Alemão,Inhaúma,COMPLEXO DO ALEMÃO
34788,-22.8811734,-43.3705487,31/03/2020,00:05:00,0,0,0,NA,NA,Não,NA,"Vila Valqueire, Rio de Janeiro - RJ, Brasil",Vila Valqueire,Jacarepaguá,JACAREPAGUA
34789,-22.823881,-43.27475,31/03/2020,00:53:00,0,0,0,NA,NA,Não,NA,"Favela Kelson's - Penha Circular, Rio de Janeiro - RJ, 21012-350, Brasil",Penha Circular,Penha,PENHA
34790,-22.9052074,-43.354214,31/03/2020,00:02:00,0,0,0,NA,NA,Não,NA,"Bateau Mouche (Batô) - Praça Seca, Rio de Janeiro - RJ, 22733-001, Brasil",Praça Seca,Jacarepaguá,JACAREPAGUA
34792,-22.8760355,-43.3055142,31/03/2020,01:00:00,1,0,0,NA,NA,Não,Ação policial,"Morro do Urubu, Piedade, Rio de Janeiro - RJ, 21381-400, Brasil",Tomás Coelho,Inhaúma,INHAUMA
34803,-22.8175941,-43.1831543,31/03/2020,09:40:00,0,0,0,NA,NA,Não,NA,"Boogie Woogie, Pitangueiras, Ilha do Governador, Rio de Janeiro - RJ, 21932-160, Brasil",Pitangueiras,Ilha do Governador,ILHA DO GOVERNADOR
34806,-22.858032,-43.488514,31/03/2020,12:44:00,0,0,0,NA,NA,Não,NA,"Vila Kennedy, Rio de Janeiro - RJ, 21850-430, Brasil",Vila Kennedy,Bangu,BANGU
34808,-22.9035702,-43.3094728,31/03/2020,14:40:00,0,0,0,NA,NA,Não,NA,"R. Cardoso de Mesquita - Água Santa, Rio de Janeiro - RJ, 20745-290, Brasil",Água Santa,Méier,MEIER
34811,-22.8760355,-43.3055142,31/03/2020,19:09:00,1,0,0,NA,NA,Não,Ação policial,"Morro do Ururubu, Piedade, Rio de Janeiro - RJ, 21381-400, Brasil",Tomás Coelho,Inhaúma,INHAUMA
34812,-22.8654866,-43.2619815,31/03/2020,19:13:00,0,0,0,NA,NA,Não,NA,"Morro do Adeus, Complexo do Alemão, Rio de Janeiro - RJ, 21061, Brasil",Complexo do Alemão,Inhaúma,COMPLEXO DO ALEMÃO
34813,-22.8511023,-43.3774746,31/03/2020,19:19:00,0,0,0,NA,NA,Não,NA,"Muquiço, Guadalupe, Rio de Janeiro - RJ, Brasil",Marechal Hermes,Madureira,MADUREIRA
